code,descr,status,picref,catalog1,catalog2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,catgDisplayNum,info
ec99053,"07.12.99 13th Philatelic Conference - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec99053,,,1.20,,,,cart2.php?Action=Add&Prod=ec99053&Which=Price,,,,,,,,4,
ec99054,"07.12.99 The fifth Telecard Collectors Gathering - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec99054,,,1.30,,,,cart2.php?Action=Add&Prod=ec99054&Which=Price,,,,,,,,4,
ec99055,"08.12.99 Postal Authority Bar Mitzva 1987-2000 - Jerusalem","1 In Stock",pic.php?ID=ec99055,,,1.00,,,,cart2.php?Action=Add&Prod=ec99055&Which=Price,,,,,,,,4,
ec99056,"24.12.99 Christmas Noel - Jerusalem","2 In Stock",pic.php?ID=ec99056,,,2.60,,,,cart2.php?Action=Add&Prod=ec99056&Which=Price,,,,,,,,4,
ec99057,"24.12.99 Christmas Noel - Ben Gurion Airport","1 In Stock",pic.php?ID=ec99057,,,1.60,,,,cart2.php?Action=Add&Prod=ec99057&Which=Price,,,,,,,,4,
ec99058,"24.12.99 Christmas Noel - Nazareth","1 In Stock",pic.php?ID=ec99058,,,2.60,,,,cart2.php?Action=Add&Prod=ec99058&Which=Price,,,,,,,,4,
ec99059,"24.12.99 Christmas Noel, Holy Land 2000 - Nazareth (was not put into use)","Never used",pic.php?ID=ec99059,,,,,,,,,,,,,,,4,
ec99060,"24.12.99 Christmas Noel - Tiberias","1 In Stock",pic.php?ID=ec99060,,,2.20,,,,cart2.php?Action=Add&Prod=ec99060&Which=Price,,,,,,,,4,
ec99061,"31.12.99 End of Millennium - Jerusalem (was not put into use)","Never used",pic.php?ID=ec99061,,,,,,,,,,,,,,,4,
ec99062,"31.12.99 End of Millennium - Nazareth (was not put into use)","Never used",pic.php?ID=ec99062,,,,,,,,,,,,,,,4,
ec99063,"31.12.99 End of Millennium - Tiberias (was not put into use)","Never used",pic.php?ID=ec99063,,,,,,,,,,,,,,,4,
ec99064,"31.12.99 End of Millennium 1999-2000 - Jerusalem","1 In Stock",pic.php?ID=ec99064,,,1.50,,,,cart2.php?Action=Add&Prod=ec99064&Which=Price,,,,,,,,4,
ec99065,"31.12.99 End of Millennium 1999-2000 - Nazareth","1 In Stock",pic.php?ID=ec99065,,,1.50,,,,cart2.php?Action=Add&Prod=ec99065&Which=Price,,,,,,,,4,
ec99066,"31.12.99 End of Millennium 1999-2000 - Tiberias","1 In Stock",pic.php?ID=ec99066,,,1.50,,,,cart2.php?Action=Add&Prod=ec99066&Which=Price,,,,,,,,4,
ec99067,"31.12.99 End of Millennium 1999-2000 - Ben Gurion Airport","2 In Stock",pic.php?ID=ec99067,,,1.50,,,,cart2.php?Action=Add&Prod=ec99067&Which=Price,,,,,,,,4,
ec00001,"01.01.00 Holy Land 2000 - Jerusalem","1 In Stock",pic.php?ID=ec00001,,,1.50,,,,cart2.php?Action=Add&Prod=ec00001&Which=Price,,,,,,,,4,
ec00002,"01.01.00 Holy Land 2000 - Nazareth","1 In Stock",pic.php?ID=ec00002,,,1.50,,,,cart2.php?Action=Add&Prod=ec00002&Which=Price,,,,,,,,4,
ec00003,"01.01.00 Holy Land 2000 - Tiberias","1 In Stock",pic.php?ID=ec00003,,,1.50,,,,cart2.php?Action=Add&Prod=ec00003&Which=Price,,,,,,,,4,
ec00004,"01.01.00 Millennium - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00004,,,1.60,,,,,,,,,,,,4,
ec00005,"01.01.00 Children Paint the Future - Ben Gurion Airport (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00005,,,1.80,,,,,,,,,,,,4,
ec00006,"01.01.00 Cana of Galilee, Events Year 2000 - Kafr Cana","1 In Stock",pic.php?ID=ec00006,,,1.00,,,,cart2.php?Action=Add&Prod=ec00006&Which=Price,,,,,,,,4,
ec00007,"01.01.00 Millenium Year district 2490 Rotary Israel - Nazereth","1 In Stock",pic.php?ID=ec00007,,,2.00,,,,cart2.php?Action=Add&Prod=ec00007&Which=Price,,,,,,,,4,
ec00008,"17.01.00 22nd World Wizo Conference - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec00008,,,1.00,,,,cart2.php?Action=Add&Prod=ec00008&Which=Price,,,,,,,,4,
ec00009,"18.01.00 35 Years of Eli Cohen's Hanging in Damascus - Jerusalem","1 In Stock",pic.php?ID=ec00009,,,1.20,,,,cart2.php?Action=Add&Prod=ec00009&Which=Price,,,,,,,,4,
ec00010,"15.02.00 Pilgrimage to the Holy Land - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00010,,,1.50,,,,,,,,,,,,4,
ec00011,"15.02.00 H.M. King Hussein of Jordan - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00011,,,1.20,,,,,,,,,,,,4,
ec00012,"15.02.00 Andersen's Fairy Tales - Bat Yam (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00012,,,1.50,,,,,,,,,,,,4,
ec00013,"15.02.00 Buildings & Historic Sites, Shuni - Binyamina (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00013,,,1.20,,,,,,,,,,,,4,
ec00014,"23.02.00 120 Years, Anniversary Birth of Ze'ev Jabotinsky - Jerusalem","1 In Stock",pic.php?ID=ec00014,,,1.20,,,,cart2.php?Action=Add&Prod=ec00014&Which=Price,,,,,,,,4,
ec00015,"07.03.00 150 Years, Birthday of Thomas Masaryk - Tel Aviv-Yafo","2 In Stock",pic.php?ID=ec00015,,,1.10,,,,cart2.php?Action=Add&Prod=ec00015&Which=Price,,,,,,,,4,
ec00016,"21.03.00 Terra Sancta Pilgrimage of the Pope to Israel - Jerusalem","Temp. Sold Out",pic.php?ID=ec00016,,,1.80,,,,,,,,,,,,4,
ec00017,"23.03.00 Pilgrimage of the Pope to Israel, The Last Supper Room - Jerusalem","Temp. Sold Out",pic.php?ID=ec00017,,,2.20,,,,,,,,,,,,4,
ec00018,"24.03.00 Pilgrimage of the Pope to Israel - Mount of Beatitudes","Temp. Sold Out",pic.php?ID=ec00018,,,2.20,,,,,,,,,,,,4,
ec00019,"24.03.00 Pilgrimage of the Pope to Israel, Church of the Multiplication - Tabgha","Temp. Sold Out",pic.php?ID=ec00019,,,2.20,,,,,,,,,,,,4,
ec00020,"25.03.00 Pilgrimage of the Pope to Israel, Church of the Annunciation - Nazareth","Temp. Sold Out",pic.php?ID=ec00020,,,2.20,,,,,,,,,,,,4,
ec00021,"26.03.00 Pilgrimage of the Pope to Israel, Church of the Holy Sepulchre - Jerusalem","Temp. Sold Out",pic.php?ID=ec00021,,,2.20,,,,,,,,,,,,4,
ec00022,"12.04.00 75 Years the Hebrew University of Jerusalem - Jerusalem","1 In Stock",pic.php?ID=ec00022,,,1.00,,,,cart2.php?Action=Add&Prod=ec00022&Which=Price,,,,,,,,4,
ec00023,"03.05.00 Memorial Day - Jerusalem (First Day Cancel)","1 In Stock",pic.php?ID=ec00023,,,1.00,,,,cart2.php?Action=Add&Prod=ec00023&Which=Price,,,,,,,,4,
ec00024,"03.05.00 Land of Three Religions - Haifa (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00024,,,1.10,,,,,,,,,,,,4,
ec00025,"03.05.00 Johann Sebastian Bach - Tel Aviv-Yafo (First Day Cancel)","1 In Stock",pic.php?ID=ec00025,,,1.80,,,,cart2.php?Action=Add&Prod=ec00025&Which=Price,,,,,,,,4,
ec00026,"03.05.00 International Communications Day - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00026,,,1.30,,,,,,,,,,,,4,
ec00027,"03.05.00 Endangered Species WWF - Arad (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00027,,,2.20,,,,,,,,,,,,4,
ec00028,"03.05.00 20 Years 'Libi' The Fund for Strenthening Israel's Defence - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00028,,,1.00,,,,,,,,,,,,4,
ec00029,"22.05.00 Greetings from Israel's Philatelists 'London 2000' - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00029,,,1.60,,,,,,,,,,,,4,
ec00030,"24.05.00 25 Years of the Open University - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00030,,,1.00,,,,,,,,,,,,4,
ec00031,"25.05.00 50 Years Religious Youth Village Hodayah - Tiberias","Temp. Sold Out",pic.php?ID=ec00031,,,1.00,,,,,,,,,,,,4,
ec00032,"28.05.00 'Be'er Sheva 2000' Stamp Exhibition - Be'er Sheva","Temp. Sold Out",pic.php?ID=ec00032,,,1.20,,,,,,,,,,,,4,
ec00033,"31.05.00 40 Years Lions in Israel Together in Hope - Jerusalem","Temp. Sold Out",pic.php?ID=ec00033,,,1.50,,,,,,,,,,,,4,
ec00034,"31.05.00 Inauguration of the Palmah Museum - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00034,,,1.20,,,,,,,,,,,,4,
ec00035,"01.06.00 ERP 2nd Conference Association of Engineers and Architects in Israel - Haifa","Temp. Sold Out",pic.php?ID=ec00035,,,1.00,,,,,,,,,,,,4,
ec00036,"20.06.00 80 Years to 'Hagana', Inauguration Hagana Museum - Yoqne'am Illit","Temp. Sold Out",pic.php?ID=ec00036,,,1.20,,,,,,,,,,,,4,
ec00037,"25.07.00 Olympic Games Sydney 2000 - Tel Aviv-Yafo (First Day Cancel)","1 In Stock",pic.php?ID=ec00037,,,2.20,,,,cart2.php?Action=Add&Prod=ec00037&Which=Price,,,,,,,,4,
ec00038,"25.07.00 Buildings & Historic Sites, Juara - Yoqne'am Illit (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00038,,,1.20,,,,,,,,,,,,4,
ec00039,"25.07.00 H.M. King Hassan II of Morocco - Jerusalem (First Day Cancel)","1 In Stock",pic.php?ID=ec00039,,,1.10,,,,cart2.php?Action=Add&Prod=ec00039&Which=Price,,,,,,,,4,
ec00040,"25.07.00 Israeli Food - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00040,,,1.30,,,,,,,,,,,,4,
ec00041,"25.07.00 85th World Esperanto Congress - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00041,,,1.60,,,,,,,,,,,,4,
ec00042,"27.07.00 50 Years of Settlements in the Confrontation Line - Hagalil Hama'aravi (Mobile Post Cancel)","Temp. Sold Out",pic.php?ID=ec00042,,,1.00,,,,,,,,,,,,4,
ec00043,"29.08.00 70th Anniversary Gan Yavne - Gan Yavne","1 In Stock",pic.php?ID=ec00043,,,1.00,,,,cart2.php?Action=Add&Prod=ec00043&Which=Price,,,,,,,,4,
ec00044,"15.09.00 Sydney Olympiad, Israel - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00044,,,2.60,,,,,,,,,,,,4,
ec00045,"19.09.00 New Year 5761 Festivals - Haifa (First Day Cancel)","1 In Stock",pic.php?ID=ec00045,,,1.00,,,,cart2.php?Action=Add&Prod=ec00045&Which=Price,,,,,,,,4,
ec00046,"19.09.00 Dohany Synagogue Budapest - Jerusalem (First Day Joint Cancel)","1 In Stock",pic.php?ID=ec00046,,,1.30,,,,cart2.php?Action=Add&Prod=ec00046&Which=Price,,,,,,,,4,
ec00047,"19.09.00 Look After your Teeth - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00047,,,1.30,,,,,,,,,,,,4,
ec00048,"05.10.00 50 Years Nir Eliyahu - Hasharon Hatikhon (Mobile Post Cancel)","Temp. Sold Out",pic.php?ID=ec00048,,,1.00,,,,,,,,,,,,4,
ec00049,"06.10.00 Greetings from Israel's Philatelists 'Espana 2000' - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00049,,,1.20,,,,,,,,,,,,4,
ec00050,"16.10.00 Zaglembie Generational Gathering - Modi'in","Temp. Sold Out",pic.php?ID=ec00050,,,1.00,,,,,,,,,,,,4,
ec00051,"09.11.00 Itzhak Rabin, Assassinated 1995 Memorial Day Shalom Chaver - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec00051,,,1.20,,,,cart2.php?Action=Add&Prod=ec00051&Which=Price,,,,,,,,4,
ec00052,"12.11.00 Association for the Benefit of Israel's Soldiers - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec00052,,,1.00,,,,cart2.php?Action=Add&Prod=ec00052&Which=Price,,,,,,,,4,
ec00053,"21.11.00 Electric Corporation, Electricity Conference 2000 - Jerusalem","2 In Stock",pic.php?ID=ec00053,,,1.10,,,,cart2.php?Action=Add&Prod=ec00053&Which=Price,,,,,,,,4,
ec00054,"05.12.00 The Aleppo Codex - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00054,,,1.10,,,,,,,,,,,,4,
ec00055,"05.12.00 Dinosaur Judean Hills, Philately Day - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00055,,,2.60,,,,,,,,,,,,4,
ec00056,"05.12.00 Science Fiction - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00056,,,2.20,,,,,,,,,,,,4,
ec00057,"05.12.00 Buildings & Historic Sites, Mizpe Revivim - Be'er Sheva (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec00057,,,1.20,,,,,,,,,,,,4,
ec00058,"24.12.00 Christmas Noel - Nazareth","Temp. Sold Out",pic.php?ID=ec00058,,,2.60,,,,,,,,,,,,4,
ec00059,"26.12.00 14th Israeli Philatelic Conference - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec00059,,,1.20,,,,,,,,,,,,4,
ec00060,"26.12.00 50 years Yokne'am Illit - Yokne'am Illit","1 In Stock",pic.php?ID=ec00060,,,1.00,,,,cart2.php?Action=Add&Prod=ec00060&Which=Price,,,,,,,,4,
ec01001,"13.02.01 Yavne'el Centenary - Yavne'el (First Day Cancel)","1 In Stock",pic.php?ID=ec01001,,,1.00,,,,cart2.php?Action=Add&Prod=ec01001&Which=Price,,,,,,,,4,
ec01002,"13.02.01 Buildings & Historic Sites, Ilaniyya - Hagalil Hatahton (Mobile Post & First Day Cancel)","2 In Stock",pic.php?ID=ec01002,,,1.20,,,,cart2.php?Action=Add&Prod=ec01002&Which=Price,,,,,,,,4,
ec01003,"13.02.01 The Hebrew Alphabet - Jerusalem (First Day Cancel)","1 In Stock",pic.php?ID=ec01003,,,1.50,,,,cart2.php?Action=Add&Prod=ec01003&Which=Price,,,,,,,,4,
ec01004,"13.02.01 Kefar Tavor Centenary - Kefar Tavor (First Day Cancel)","1 In Stock",pic.php?ID=ec01004,,,1.10,,,,cart2.php?Action=Add&Prod=ec01004&Which=Price,,,,,,,,4,
ec01005,"13.02.01 Menahamiya Centenary - Menahamiya (First Day Cancel)","2 In Stock",pic.php?ID=ec01005,,,1.00,,,,cart2.php?Action=Add&Prod=ec01005&Which=Price,,,,,,,,4,
ec01006,"18.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' Opening Day, Israel Postal Authority Day - Jerusalem","2 In Stock",pic.php?ID=ec01006,,,1.10,,,,cart2.php?Action=Add&Prod=ec01006&Which=Price,,,,,,,,4,
ec01007,"18.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' - Jerusalem (First Day Cancel)","2 In Stock",pic.php?ID=ec01007,,,1.20,,,,cart2.php?Action=Add&Prod=ec01007&Which=Price,,,,,,,,4,
ec01008,"18.03.01 Wild Animals in Israel - Jerusalem (First Day Cancel)","2 In Stock",pic.php?ID=ec01008,,,2.20,,,,cart2.php?Action=Add&Prod=ec01008&Which=Price,,,,,,,,4,
ec01009,"18.03.01 Flowers - Jerusalem (First Day Cancel)","2 In Stock",pic.php?ID=ec01009,,,1.50,,,,cart2.php?Action=Add&Prod=ec01009&Which=Price,,,,,,,,4,
ec01010,"19.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' Jerusalem Day - Jerusalem","1 In Stock",pic.php?ID=ec01010,,,1.20,,,,cart2.php?Action=Add&Prod=ec01010&Which=Price,,,,,,,,4,
ec01011,"20.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' International Friendship Day Israel-Argentina - Jerusalem","2 In Stock",pic.php?ID=ec01011,,,1.20,,,,cart2.php?Action=Add&Prod=ec01011&Which=Price,,,,,,,,4,
ec01012,"20.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' International Friendship Day Israel-Spain - Jerusalem","3 In Stock",pic.php?ID=ec01012,,,1.20,,,,cart2.php?Action=Add&Prod=ec01012&Which=Price,,,,,,,,4,
ec01013,"20.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' International Friendship Day Israel-Italy - Jerusalem","2 In Stock",pic.php?ID=ec01013,,,1.20,,,,cart2.php?Action=Add&Prod=ec01013&Which=Price,,,,,,,,4,
ec01014,"20.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' International Friendship Day Israel-Germany - Jerusalem","2 In Stock",pic.php?ID=ec01014,,,1.20,,,,cart2.php?Action=Add&Prod=ec01014&Which=Price,,,,,,,,4,
ec01015,"21.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' 'Say it with Flowers' Day - Jerusalem","3 In Stock",pic.php?ID=ec01015,,,1.50,,,,cart2.php?Action=Add&Prod=ec01015&Which=Price,,,,,,,,4,
ec01016,"22.03.01 Multinational Stamp Exhibition 'Jerusalem 2001' Youth Day - Jerusalem","3 In Stock",pic.php?ID=ec01016,,,1.10,,,,cart2.php?Action=Add&Prod=ec01016&Which=Price,,,,,,,,4,
ec01017,"18.04.01 Memorial Day - Pardes Hana-Karkur (First Day Cancel)","1 In Stock",pic.php?ID=ec01017,,,1.00,,,,cart2.php?Action=Add&Prod=ec01017&Which=Price,,,,,,,,4,
ec01018,"13.05.01 European Basketball Maccabi Elite Tel Aviv Champion 2001 - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec01018,,,2.00,,,,cart2.php?Action=Add&Prod=ec01018&Which=Price,,,,,,,,4,
ec01019,"17.05.01 World Telecommunication Day, The Internet Opportunities, Challenges & Prospects - Or Aqiva","1 In Stock",pic.php?ID=ec01019,,,1.20,,,,cart2.php?Action=Add&Prod=ec01019&Which=Price,,,,,,,,4,
ec01020,"23.05.01 The Karaite Jews - Ashdod (First Day Cancel)","1 In Stock",pic.php?ID=ec01020,,,1.00,,,,cart2.php?Action=Add&Prod=ec01020&Which=Price,,,,,,,,4,
ec01021,"23.05.01 Buildings & Historic Sites, Sha'ar Hagay - Bet Shemesh (First Day Cancel)","1 In Stock",pic.php?ID=ec01021,,,1.20,,,,cart2.php?Action=Add&Prod=ec01021&Which=Price,,,,,,,,4,
ec01022,"23.05.01 Opening of the Terraces of the Shrine of the Bab - Haifa (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec01022,,,1.50,,,,,,,,,,,,4,
ec01023,"23.05.01 World Stamp Exhibition 'Belgica 2001' - Ramat Gan (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec01023,,,1.30,,,,,,,,,,,,4,
ec01024,"05.06.01 'Nahal' Memorial Day - Pardes Hana-Karkur","1 In Stock",pic.php?ID=ec01024,,,1.00,,,,cart2.php?Action=Add&Prod=ec01024&Which=Price,,,,,,,,4,
ec01025,"07.06.01 50 Years Since the Exodus of Iraqi Jews to Israel - Or Yehuda","1 In Stock",pic.php?ID=ec01025,,,1.20,,,,cart2.php?Action=Add&Prod=ec01025&Which=Price,,,,,,,,4,
ec01026,"10.06.01 Greetings from Israel's Philatelists Belgica 2001 - Tel Aviv-Yafo","Temp. Sold Out",pic.php?ID=ec01026,,,1.50,,,,,,,,,,,,4,
ec01027,"12.06.01 Or Aqiva Jubilee Year - Or Aqiva","1 In Stock",pic.php?ID=ec01027,,,1.00,,,,cart2.php?Action=Add&Prod=ec01027&Which=Price,,,,,,,,4,
ec01028,"19.06.01 Flower Board of Israel the Annual Ornamental Plants Symposium - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec01028,,,1.50,,,,cart2.php?Action=Add&Prod=ec01028&Which=Price,,,,,,,,4,
ec01029,"21.06.01 'Qiryat Gat 2001' Stamp Exhibition - Qiryat Gat","2 In Stock",pic.php?ID=ec01029,,,1.20,,,,cart2.php?Action=Add&Prod=ec01029&Which=Price,,,,,,,,4,
ec01030,"02.07.01 National Rally to Mark 25 Years since Operation Yonatan - Jerusalem","2 In Stock",pic.php?ID=ec01030,,,1.80,,,,cart2.php?Action=Add&Prod=ec01030&Which=Price,,,,,,,,4,
ec01031,"03.07.01 The Launching of Double Decker Cars for Israel Railways - Tel Aviv-Yafo","2 In Stock",pic.php?ID=ec01031,,,2.20,,,,cart2.php?Action=Add&Prod=ec01031&Which=Price,,,,,,,,4,
ec01032,"16.07.01 Opening Ceremony of the 16th Maccabiah - Jerusalem","2 In Stock",pic.php?ID=ec01032,,,1.60,,,,cart2.php?Action=Add&Prod=ec01032&Which=Price,,,,,,,,4,
ec01033,"17.07.01 'Philanippon 2001' World Stamp Exhibition, Children paint dreams - Jerusalem (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec01033,,,1.30,,,,,,,,,,,,4,
ec01034,"17.07.01 Youth Movements - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec01034,,,1.10,,,,,,,,,,,,4,
ec01035,"17.07.01 Bezalel Ceremics, Lederberg House - Tel Aviv-Yafo (First Day Cancel)","Temp. Sold Out",pic.php?ID=ec01035,,,1.30,,,,,,,,,,,,4,
ec01036,"20.07.01 Davis Cup 2001 Israel-South Africa - Ramat Hasharon","1 In Stock",pic.php?ID=ec01036,,,2.20,,,,cart2.php?Action=Add&Prod=ec01036&Which=Price,,,,,,,,4,
ec01037,"01.08.01 Philanippon '01 Greetings from Israel's Philatelists - Tel Aviv-Yafo","1 In Stock",pic.php?ID=ec01037,,,1.20,,,,cart2.php?Action=Add&Prod=ec01037&Which=Price,,,,,,,,4,
ec01038,"15.08.01 Qalansuwa Became a Town - Qalansuwa (First Day Souvenir Leaves Cancel)","Temp. Sold Out",pic.php?ID=ec01038,,,50.00,,,,,,,,,,,,4,
ec01039,"21.08.01 Bar Mitzva of Aleppo Heritage Center - Jerusalem","2 In Stock",pic.php?ID=ec01039,,,1.10,,,,cart2.php?Action=Add&Prod=ec01039&Which=Price,,,,,,,,4,
ec01040,"03.09.01 New Year 5762 Festivals - Be'er Sheva (First Day Cancel)","2 In Stock",pic.php?ID=ec01040,,,1.10,,,,cart2.php?Action=Add&Prod=ec01040&Which=Price,,,,,,,,4,
ec01041,"03.09.01 Shota Rustaveli 'The Man in the Panther's Skin' - Jerusalem (First Day Joint Cancel)","2 In Stock",pic.php?ID=ec01041,,,1.20,,,,cart2.php?Action=Add&Prod=ec01041&Which=Price,,,,,,,,4,
ec01042,"03.09.01 Keren Kayemeth Le Israel J.N.F. Centenary - Jerusalem (First Day Cancel)","2 In Stock",pic.php?ID=ec01042,,,1.20,,,,cart2.php?Action=Add&Prod=ec01042&Which=Price,,,,,,,,4,
ec01043,"03.09.01 Yehuda Amichai - Jerusalem (First Day Cancel)","3 In Stock",pic.php?ID=ec01043,,,1.10,,,,cart2.php?Action=Add&Prod=ec01043&Which=Price,,,,,,,,4,
ec01044,"16.09.01 Inauguration of Gilo Post Office Branch - jerusalem","3 In Stock",pic.php?ID=ec01044,,,1.00,,,,cart2.php?Action=Add&Prod=ec01044&Which=Price,,,,,,,,4,
ec01045,"12.10.01 Barkan 20 Years - Efrayim (Mobile Post Cancel)","3 In Stock",pic.php?ID=ec01045,,,1.30,,,,cart2.php?Action=Add&Prod=ec01045&Which=Price,,,,,,,,4,
ec01046,"16.10.01 Greetings from Israel's Philatelists to 'Hafnia' 2001 - Tel Aviv-Yafo","2 In Stock",pic.php?ID=ec01046,,,1.60,,,,cart2.php?Action=Add&Prod=ec01046&Which=Price,,,,,,,,4,
ec01047,"17.10.01 'Zevet' 40 Years - Tel Aviv-Yafo","3 In Stock",pic.php?ID=ec01047,,,1.00,,,,cart2.php?Action=Add&Prod=ec01047&Which=Price,,,,,,,,4,
ec01048,"24.10.01 10 years Israel Democracy Institute - Jerusalem","2 In Stock",pic.php?ID=ec01048,,,1.00,,,,cart2.php?Action=Add&Prod=ec01048&Which=Price,,,,,,,,4,
ec01049,"11.12.01 Environment, Coastal Conservation - Ashqelon (First Day Cancel)","3 In Stock",pic.php?ID=ec01049,,,1.10,,,,cart2.php?Action=Add&Prod=ec01049&Which=Price,,,,,,,,4,
ec01050,"11.12.01 Institute for the Blind Centennial - Jerusalem (First Day Cancel)","3 In Stock",pic.php?ID=ec01050,,,1.00,,,,cart2.php?Action=Add&Prod=ec01050&Which=Price,,,,,,,,4,
ec01051,"11.12.01 Heinrich Heine - Jerusalem (First Day Cancel)","3 In Stock",pic.php?ID=ec01051,,,1.20,,,,cart2.php?Action=Add&Prod=ec01051&Which=Price,,,,,,,,4,
ec01052,"11.12.01 'Akim' 50 years - Tel Aviv-Yafo (First Day Cancel)","3 In Stock",pic.php?ID=ec01052,,,1.00,,,,cart2.php?Action=Add&Prod=ec01052&Which=Price,,,,,,,,4,
ec01053,"11.12.01 The First Israeli Astronaut, Philately Day - Tel Aviv-Yafo (First Day Cancel)","2 In Stock",pic.php?ID=ec01053,,,3.00,,,,cart2.php?Action=Add&Prod=ec01053&Which=Price,,,,,,,,4,
ec01054,"11.12.01 15th Philatelic Conference - Tel Aviv-Yafo","2 In Stock",pic.php?ID=ec01054,,,1.20,,,,cart2.php?Action=Add&Prod=ec01054&Which=Price,,,,,,,,4,
ec01055,"24.12.01 Christmas Noel - Jerusalem","3 In Stock",pic.php?ID=ec01055,,,2.60,,,,cart2.php?Action=Add&Prod=ec01055&Which=Price,,,,,,,,4,
ec01056,"24.12.01 Christmas Noel - Nazareth","3 In Stock",pic.php?ID=ec01056,,,2.60,,,,cart2.php?Action=Add&Prod=ec01056&Which=Price,,,,,,,,4,
ec02001,"24.01.02 10 Years Israel-China Diplomatic Relation - Tel Aviv-Yafo (First Day Joint Souvenir Leaves Cancel)","2 In Stock",pic.php?ID=ec02001,,,1.30,,,,cart2.php?Action=Add&Prod=ec02001&Which=Price,,,,,,,,4,
ec02002,"08.02.02 Israel Participates in the XIX Olympic Winter Games 'Salt Lake City 2002' - Tel Aviv-Yafo","3 In Stock",pic.php?ID=ec02002,,,1.80,,,,cart2.php?Action=Add&Prod=ec02002&Which=Price,,,,,,,,4,
ec02003,"24.02.02 Ladino - Jerusalem (First Day Cancel)","3 In Stock",pic.php?ID=ec02003,,,1.30,,,,cart2.php?Action=Add&Prod=ec02003&Which=Price,,,,,,,,4,
ec02004,"24.02.02 Yiddish - Bene Beraq (First Day Cancel)","2 In Stock",pic.php?ID=ec02004,,,1.50,,,,cart2.php?Action=Add&Prod=ec02004&Which=Price,,,,,,,,4,
ec02005,"24.02.02 Mushrooms - Migdal Haemeq (First Day Cancel)","3 In Stock",pic.php?ID=ec02005,,,1.80,,,,cart2.php?Action=Add&Prod=ec02005&Which=Price,,,,,,,,4,
ec02006,"24.02.02 Months of the Year - Tel Aviv-Yafo (First Day Cancel)","3 In Stock",pic.php?ID=ec02006,,,1.50,,,,cart2.php?Action=Add&Prod=ec02006&Which=Price,,,,,,,,4,
ec02007,"24.02.02 Flowers - Modi'in (First Day Cancel)","3 In Stock",pic.php?ID=ec02007,,,1.50,,,,cart2.php?Action=Add&Prod=ec02007&Which=Price,,,,,,,,4,
ec02008,"12.03.02 120 Years of the Wine Industry in Eretz Israel 1882-2002 - Rishon Leziyyon","3 In Stock",pic.php?ID=ec02008,,,1.60,,,,cart2.php?Action=Add&Prod=ec02008&Which=Price,,,,,,,,4,
